exchange,sym,price,supply,cny_supply,cny_price
Binance,0x,0.3550645,1964491.0,1364.40,2.47
Binance,kyber-network,0.16511900000000002,311477.0,216.33,1.15
Binance,loopring,0.043173500000000004,115906.0,80.50,0.30
BitMart,0x,0.31433533333333336,3967330.0,2755.43,2.18
Bithumb,0x,0.35195,137211.0,95.30,2.44
Bithumb,kyber-network,0.164007,223251.0,155.05,1.14
Bithumb,loopring,0.326241,87297.0,60.63,2.27
Bittrex,0x,0.35710900000000007,94918.0,65.92,2.48
Bittrex,loopring,0.043384,13452.0,9.34,0.30
CPDAX,kyber-network,0.1645,259540.0,180.26,1.14
CoinTiger,0x,0.355646,202288.0,140.50,2.47
Coinbase Pro,0x,0.35482033333333335,2986158.0,2073.98,2.46
DigiFinex,0x,0.35491266666666665,289854.0,201.31,2.46
DragonEX,kyber-network,0.1510365,261671.0,181.74,1.05
DragonEX,loopring,0.045981999999999995,87228.0,60.58,0.32
Ethfinex,0x,0.3568766666666667,504997.0,350.74,2.48
Gate.io,0x,0.35842999999999997,126413.0,87.80,2.49
Gate.io,kyber-network,0.165929,5141.0,3.57,1.15
Gate.io,loopring,0.04285366666666666,71565.0,49.70,0.30
Gate.io,loopring-neo,0.0753615,594548.0,412.93,0.52
HitBTC,0x,0.3593825,166388.0,115.56,2.50
Huobi,0x,0.355311,79430.0,55.17,2.47
Huobi,kyber-network,0.164727,45974.0,31.93,1.14
IDAX,loopring,0.050901,0.0,0.00,0.35
Liqui,kyber-network,0.16451166666666664,139185.0,96.67,1.14
OKEx,0x,0.3554983333333333,308398.0,214.19,2.47
OKEx,kyber-network,0.16485066666666667,42646.0,29.62,1.14
OKEx,loopring,0.043088666666666664,95196.0,66.12,0.30
Poloniex,0x,0.35417566666666667,140118.0,97.32,2.46
Upbit,0x,0.3571555,100058.0,69.49,2.48
Upbit,loopring,0.042955,12599.0,8.75,0.30
