exchange,sym,price,supply,cny_supply,cny_price
Binance,0x,0.3501035,2039206.0,14162897.43,2.43
BitMart,0x,0.31144266666666665,3894545.0,27048783.39,2.16
Bithumb,0x,0.354103,145957.0,1013715.15,2.46
Bittrex,0x,0.35239966666666667,113385.0,787492.84,2.45
CoinTiger,0x,0.35123499999999996,199256.0,1383892.70,2.44
Coinbase Pro,0x,0.3532283333333333,3237849.0,22487832.66,2.45
DigiFinex,0x,0.35020433333333334,331182.0,2300158.34,2.43
Ethfinex,0x,0.3552283333333333,580222.0,4029815.86,2.47
Gate.io,0x,0.3506036666666666,143624.0,997511.77,2.44
HitBTC,0x,0.35633925,172074.0,1195105.55,2.47
Huobi,0x,0.3512215,89877.0,624222.73,2.44
OKEx,0x,0.3509793333333333,361570.0,2511212.12,2.44
Poloniex,0x,0.35001499999999997,174804.0,1214066.22,2.43
Upbit,0x,0.35396924999999996,105852.0,735173.90,2.46
