exchange,sym,price,supply,cny_supply,cny_price
Binance,0x,0.35012750000000004,2290309.0,15873215.56,2.43
BitMart,0x,0.3096446666666667,4023837.0,27887604.71,2.15
Bithumb,0x,0.365128,189962.0,1316550.64,2.53
Bittrex,0x,0.35564233333333334,135172.0,936823.06,2.46
CoinTiger,0x,0.3534345,208639.0,1445993.45,2.45
Coinbase Pro,0x,0.347909,2816385.0,19519237.88,2.41
DigiFinex,0x,0.35220133333333337,576308.0,3994160.22,2.44
Ethfinex,0x,0.35231133333333337,874818.0,6063013.63,2.44
Gate.io,0x,0.35486466666666666,142650.0,988650.09,2.46
HitBTC,0x,0.3471492500000001,247079.0,1712405.72,2.41
Huobi,0x,0.352485,147916.0,1025146.63,2.44
OKEx,0x,0.3534563333333334,699315.0,4846672.54,2.45
Poloniex,0x,0.353232,320724.0,2222809.75,2.45
Upbit,0x,0.350986,124266.0,861237.94,2.43
